County,Tax Base Category,Year,Value
4-County regional Totals,Total Registrations (000s),1991,2356690.398
King County,Population,1991,1534987.4319999998
King County,Employment,1991,942661.863
King County,Retail Sales (nominal),1991,21259481560.0
King County,Cars and Gas Trucks,1991,1296983.888
Kitsap County,Population,1991,194099.1625
Kitsap County,Employment,1991,66974.80742000001
Kitsap County,Retail Sales (nominal),1991,1396057879.0
Kitsap County,Cars and Gas Trucks,1991,151955.4902
Pierce County,Population,1991,593774.1025
Pierce County,Employment,1991,196450.5318
Pierce County,Retail Sales (nominal),1991,4908543304.0
Pierce County,Cars and Gas Trucks,1991,446713.9437
Snohomish County,Population,1991,479226.5716
Snohomish County,Employment,1991,169842.7978
Snohomish County,Retail Sales (nominal),1991,4465817783.0
Snohomish County,Cars and Gas Trucks,1991,405956.90660000005
4-County regional Totals,Personal Income (nominal),1992,69175892740.0
4-County regional Totals,Population,1992,2880190.0
4-County regional Totals,Employment,1992,1394960.0
4-County regional Totals,Retail Sales (nominal),1992,33334430719.999996
4-County regional Totals,Motor Fuel (gal.),1992,1522860771.0
4-County regional Totals,Cars and Gas Trucks,1992,2306795.199
4-County regional Totals,Diesel,1992,56.79998961
4-County regional Totals,Total Registrations (000s),1992,2363595.1890000002
King County,Population,1992,1564984.813
King County,Employment,1992,950660.0006
King County,Retail Sales (nominal),1992,21648491440.0
King County,Cars and Gas Trucks,1992,1284344.226
Kitsap County,Population,1992,199923.7707
Kitsap County,Employment,1992,67787.42723
Kitsap County,Retail Sales (nominal),1992,1473947766.0
Kitsap County,Cars and Gas Trucks,1992,157744.8487
Pierce County,Population,1992,605294.3944999999
Pierce County,Employment,1992,200997.2167
Pierce County,Retail Sales (nominal),1992,5279064780.0
Pierce County,Cars and Gas Trucks,1992,455562.20519999997
Snohomish County,Population,1992,494128.72520000004
Snohomish County,Employment,1992,175515.3555
Snohomish County,Retail Sales (nominal),1992,4932926738.0
Snohomish County,Cars and Gas Trucks,1992,409143.9192
4-County regional Totals,Personal Income (nominal),1993,73242978580.0
4-County regional Totals,Population,1993,2929612.0
4-County regional Totals,Employment,1993,1407321.667
4-County regional Totals,Retail Sales (nominal),1993,34752640220.0
4-County regional Totals,Motor Fuel (gal.),1993,1537903757.0
4-County regional Totals,Cars and Gas Trucks,1993,2267708.989
4-County regional Totals,Diesel,1993,44.23679261
4-County regional Totals,Total Registrations (000s),1993,2311945.7819999997
King County,Population,1993,1584817.356
King County,Employment,1993,947320.874
King County,Retail Sales (nominal),1993,22232408190.0
King County,Cars and Gas Trucks,1993,1257486.5150000001
Kitsap County,Population,1993,205671.5717
Kitsap County,Employment,1993,67903.72918
Kitsap County,Retail Sales (nominal),1993,1680304719.0
Kitsap County,Cars and Gas Trucks,1993,157114.1815
Pierce County,Population,1993,618874.7068
Pierce County,Employment,1993,207376.2563
Pierce County,Retail Sales (nominal),1993,5550875204.0
